Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
B000NV4GMY,The Good Earth,,,,0/2,2.0,922752000,It was alright I guess,"The book I have read, The Good Earth, tales place in the early 19th century, in a small farming and agricultural town in China. It shows the hardships that took place in these time through a specific character. His passion for his land was greater then any other. His name is Wang Lung, The Farmer. He had lived in a dirt &quot;hut&quot; with his father, ever since he was a child. Many centuries have been raised in this house and have been brought up on the land. One day was his wedding day, and Wang Lung was petrified of going forth to the Great House of Hwang ( where his maid was living and was sold to when a young child). Eventually as time went on the maid, whose name is O-Lan, they had started to have children. W.L. (Wang Lung) had felt that he was very fortunate since his first few children were males. He had then started to feel the riches in his hand and started to buy land and more land, feeling richer by the day.One time, W.L.'s evil uncle had come over and seemed to put a &quot;spell&quot; on the house, spreading his evil ways around. W.L. was sure that his uncle was evil because shortly after, W.L.'s land, that he had love so greatly, had started to dry up. An enormous drought had fallen over him while a flock of black birds circled over his head( which was considered an evil omen ). O-Lan had then started to bare slaves, or women in which they called them this. The family was eventually forced to the south, driven to beg for money. W.L. was sure that sooner or later he was going to go back to land. As the book progresses it shows how W.L.'s life changes as he goes back to the north. He soon possesses the name &quot;Wang the Great&quot; and others similar. He learns that life is not only just money, but it is also the family, cultures... and what he feels is most important is his land that he wishes that it will never be sold.The book The Good Earth is for people who really like themes and morality types of things. Some parts for me were alright, but O would say that it was not the best I have ever read. Many parts are very descriptive, which I enjoy when it is a big deal or main part in the book. But other parts drone on about the smallest ideas...which I can't take! Although it isn't a book that I would love to read, it is still an important book to read. It teaches the reader about Chinese culture and the theme of morality."
0486417824,Dubliners (Dover Large Print Classics),9.95,AHD101501WCN1,"Shalom Freedman ""Shalom Freedman""",0/0,5.0,1267056000,"A story collection which defines a world, and provides the themes for the great expansions to follow","'Dubliners' is not a group of stories simply, but rather a group of stories which defines a world. Joyce here outlines those themes which he will expand upon and elaborate stage- by- stage in the ""Portrait"" in 'Ulysses"" in ""Finnegan's Wake"". The city of Dublin and Joyce's home- world are the world in which family, religion, country are in decay. And yet within these tales of frustration and failure, the romantic longing the hints toward transformation of experience through the sacred work of the artist. Joyce's is already, ironically or not, forging in the smithy of his soul the uncreated conscience of his race.This edition of what is now one of the 'classic' short - story collections discusses the work's composition, and provides a bibliography for further studies. It does not however as the 'Norton Critical Edition' does provide essays of explication.What is most important however is the stories themselves which have a kind of lyrical beauty. This is felt most strongly in that tale of stagnation and romantic longing idolized and regretted, 'Dubliners'. In human scope and feeling I personally find Chekhov and also I.B. Singer beyond Joyce as storytellers. But this is surely one of the world's greatest collections of stories."
B0006IU3EE,A Fine Balance,,A2MOBMVHECYVLE,saliero,5/6,5.0,978998400,An exceptional experience,"I was absolutely knocked out by this book. It continues with me long after I finished it. Fragments of text will drift into my mind as I go about my daily activities.I read this book along with cyber-reading mates for an Internet book club, and the conversations that bounced from it are awesome.Mistry has written a raging, angry novel. There ARE darkly funny episodes (like the funeral procession of a beggar). This is a book which has plunged me into a quest to read more and more about this most fascinating of places.Be prepared for an engrossing read. It is not a polemic, yet is potent with symbolism and meaning. The characters and plotting drive the novel. Yet we learn more about India than the longest text might enable.I was swept along and with the 4 main characters, and many of the minor ones. The writing is never trite or contrived. It is literary, yet direct and uncomplicated. Masterful.Thoroughly recommended."
B000GAYFUU,Little Women,,A35GHITTG3WX7E,Taran Wanderer,2/3,5.0,1088640000,A treasured classic!,"Oooh, I have for years wanted to read Little Women by Louisa May Alcott, and I finally got the chance. This book is so amazing, you actually learn to love each one of the characters, yes, even that selfish and smoiled 'Lady' Amy March. The story focuses on four charming yound ladies, Margaret 'Meg', Josephine 'Jo', Elizabeth, 'Beth' (Who by the way is my favorite) and Amy March, these girls are tought several and important lessons, some softly and some a little more harshly by one of their greatest teachers, their mother, Mrs. March, called sweetly by the girls as ""Marmee"".The story begins, slowly and happily in what seems like a perfect world, even if Father is away at war. The sisters make new friends, attend elegant parties, and each find small adventures of their own, at home, at school and everywhere. Of course, things change, dark days come along, Meg is falling in love with Mr. Brooke, Laurie's (The Marches' neighboor) tutor and Jo fears that her sister might soon leave them, and poor shy, sweet Beth gets the scarlet fever, who at the end has very serious and sad consequences.There are happy and sad moments in this wonderful masterpiece, and I recommend anyone to read and enjoy them as much as I did."
0609610171,Baby Blessings: Inspiring Poems and Prayers for Every Stage of Babyhood,,A6A0OINXRSV6F,"Jay A. ""Jay""",1/1,5.0,1282435200,LOVED THIS BOOK,Worth every penny. We were able to create a unique welcoming ceremony with help from this book. Its beautiful.
0826514677,Japan 1945: A U.S. Marine's Photographs From Ground Zero,,A29YVJKOBBRH8V,Vinnie Poulton,0/0,4.0,1357516800,Book,I saw this book in a museum in Nashville where there was a small exhibition of some the photos from the book. When I saw the pictures were available in this book I bought a copy for myself and my father. Some of the pix are a bit graphic but that was to be expected.
0060833874,Daughter of Fortune CD,,A3O77N2UP11WWE,Michael S Gellerman,6/8,3.0,940464000,A little disappointed,"I was a little disappointed with this book. While it was a good story, I found myself thinking more about the history and place and lost interest in Eliza. I thought the book really ran out of steam once she leaves Sacramento - we don't see or feel much about her emotions during the time when she is coming to realize that she is on a journey in search of herself rather than for Joaquin. I wish I had read the book in Spanish because I think this may be a relatively pedestrian transalation.When I finished the book, my first impulse was to go back and read Wallace Stegner's Angle of Repose - a superior but similar novel. I believe that Daughter of Fortune will ultimately be considered a minor work by an otherwise accomplished writer."
0275972046,Isonzo: The Forgotten Sacrifice of the Great War,67.15,AEPFXBJOR6QND,"Russell D. Melling ""World's Greatest Anglophile""",2/4,5.0,1030147200,Tragedy on a Grand Scale,This book is an eye-opening and informative account of a little-known theatre of the First World War. Schindler pulls no punches in pointing out the incompetence of the Italian commanders and the role that Italian Nationalism played in stoking the fires of this needless tragedy. A must read for anyone interested in the battles and campaigns of the First World War
B000LCA2QY,When God Was A Woman,,A8S92T3T5DXTV,Patricia Monaghan,19/21,5.0,942624000,One of the first books on the subject,"With the growth of literature on goddess religion in recent years, it is easy to compare Stone's achievement with that of those who have stood on her shoulders. Originally published more than 20 years ago, it has remained steadily in print since, in great part because of its accessibility to the lay audience. Although some of the material in her book has since been superceded, this remains an important and exciting book."
0837173876,Noblesse Oblige; An Enquiry into the Identifiable Characteristics of the English Aristocracy.,,A2NPLZDVV82IW5,"Karen Anderson ""Author, A Fairy-Tale Christma...",5/5,5.0,1275177600,"Attention: all fans of Jane Austen, Lord Peter Wimsey, Evelyn Waugh, Queen Elizabeth, and Annie Tempest:","If you are interested in what the British Aristocracy is all about, or more specifically, what are the external signs of an aristocrat, try to get your hands on a copy of this book. It is a lively exploration of the quaint turns of phrase, social peculiarities, and other habits that identify the British upper-classes (charmingly referred to as U), as distinguished from the lower-classes (non-U).As the title suggests, what makes an aristocrat is a sense of Noblesse Oblige, or the obligation of the nobility to put his high position at the service of those beneath him, and at the service of the common good. That being said, there is always a je ne sais quoi about the fictional and non-fictional characters of the Aristocracy that make them sometimes irresistible and other times loathsome, but always fascinating, and often extremely funny.If you simply want to know for the sake of idle curiosity--or if you want to avoid the blunders (beginning with audible self-promotion and ending with obnoxious table manners) that might make the occasional aristocrat you run into at a dinner party either enjoy your conversation (think of Elizabeth Bennet) or avoid you like the plague, (think of Mr. Collins) you will enjoy this book.If you are a sociologist studying the nature of class-distinctions which the human race routinely creates (in spite of every attempt to prevent it) than you will REALLY enjoy this book.If, on the other hand, the very thought of social class gives you hives, avoid this book at all costs."
